,corr_pair,corr_metrics,CodeBertsim,CodeBertfake_pair,CodeBertfake_sim,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
151,"('ARR93', 'ARR94')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
152,"('ARR93_tree', 'ARR94_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
153,"('ARR94', 'ARR95')",4,tensor(0.9999),,,0.826236559139785,,,0.8,,,0.92,,
154,"('ARR94_tree', 'ARR95_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
155,"('ARR95', 'ARR98')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
156,"('ARR95_tree', 'ARR98_tree')",4,tensor(0.9998),,,0.9252071005917161,,,0.9,,,0.96,,
157,"('ARR98', 'ARR99')",4,tensor(0.9997),,,0.826236559139785,,,0.8,,,0.92,,
158,"('ARR98_tree', 'ARR99_tree')",4,tensor(0.9998),,,0.9252071005917161,,,0.9,,,0.96,,
159,"('ARR99', 'ARR101')",4,tensor(0.9996),,,0.45454545454545453,,,0.5,,,0.79,,
160,"('ARR99_tree', 'ARR101_tree')",4,tensor(0.9999),,,0.7622432859399684,,,0.7272727272727273,,,0.8853994490358127,,
161,"('ARRAY_CLOSE10', 'ARRAY_CLOSE11')",4,tensor(0.9997),,,0.9448694931639277,,,0.9230769230769231,,,0.9960552268244576,,
162,"('ARRAY_CLOSE11', 'ARRAY_CLOSE12')",3,tensor(0.9990),"('ARRAY_CLOSE11', 'array_open27')",tensor(0.9992),0.9448694931639277,,,0.9230769230769231,,,0.9960552268244576,,
163,"('ARRAY_CLOSE12', 'ARRAY_CLOSE8')",4,tensor(0.9995),,,0.9094126394052046,,,0.8461538461538461,,,0.9878369493754109,,
164,"('ARRAY_CLOSE5', 'ARRAY_CLOSE8')",4,tensor(0.9991),,,0.9395397489539749,,,0.9166666666666666,,,0.9953703703703703,,
165,"('ARRAY_CLOSE8', 'ARRAY_CLOSE9')",4,tensor(0.9996),,,0.9395397489539749,,,0.9166666666666666,,,0.9953703703703703,,
166,"('ARRAY_CLOSE9', 'ARRAY_CLOSE10')",4,tensor(0.9997),,,0.9094126394052046,,,0.8461538461538461,,,0.9878369493754109,,
