	OldName	NewName	Dice	Qgram	count
9349	ExampleTest	PlayTest	False	True	1
9359	ExcelUtil	XlsCopyUtil	False	True	1
9388	Exchange	ExchangeManager	True	False	1
9401	ExcludeJars	IncludeExcludeLibs	True	False	1
9430	ExecutorProvider	ExecutorService	False	True	1
9479	ExperimentConfig	ExperimentProfile	True	False	1
9547	ExprDisplayName	ExprBalance	True	False	1
9560	ExpressionEvaluator	IScopeAwareExpressionsEvaluator	True	False	1
9564	ExpressionParser	ExpressionParserShuntingYard	True	False	1
9623	ExtensionsSuite	ExtensionsTestSuite	True	False	1
9641	ExternalSortCommand	AbstractExternalSortCommand	True	False	1
9642	ExternalSortTask	ExternalSortCommand	False	True	1
9660	ExtractGoalReq	ExtractGoalDto	False	True	1
9678	F17Action	F17AstAction	True	False	1
9696	FCommand	FactionsCommand	True	False	1
9722	FCommandOpen	CmdOpen	True	False	1
9753	FDockable	DefaultFDockable	True	False	1
9776	FMLHandler	FMLServerHandler	True	False	1
9819	FTPFileUploadTest	CommonsFTPFileUploaderTest	True	False	1
9832	FXPropertyDefinition	Property	True	False	1
9849	FacesConfig	FacesConfigDescriptor	True	False	1
9914	FactoidDaoHibernate	FactoidDaoImpl	False	True	1
9922	Factory	FactoryMethod	True	False	1
9933	FailBuildExtension	FailBuildException	False	True	1
9935	FailedBucketTransfersTest	BucketMoverTest	True	False	1
9950	FakeEntity	FakeAggregate	False	True	1
9966	FakeTier	FakeProvider	True	False	1
